rank,name,country_name,country_id,count,lastDate
1,Novak Djokovic,Serbia,SRB,50,2019-10-28
2,Rafael Nadal,Spain,ESP,44,2019-08-05
3,Roger Federer,Switzerland,SUI,34,2019-03-18
4,Andy Murray,United Kingdom,GBR,21,2016-10-31
5,David Ferrer,Spain,ESP,7,2014-08-10
6,Alexander Zverev,Germany,GER,6,2019-10-07
7,John Isner,United States,USA,5,2019-03-18
8,Jo Wilfried Tsonga,France,FRA,4,2015-10-11
8,Stan Wawrinka,Switzerland,SUI,4,2017-03-06
8,Juan Martin Del Potro,Argentina,ARG,4,2018-03-05
8,Kei Nishikori,Japan,JPN,4,2018-04-16
12,David Nalbandian,Argentina,ARG,3,2008-10-26
12,Mardy Fish,United States,USA,3,2011-08-08
12,Tomas Berdych,Czech Republic,CZE,3,2015-04-12
12,Milos Raonic,Canada,CAN,3,2016-03-07
12,Gael Monfils,France,FRA,3,2016-04-11
12,Dominic Thiem,Austria,AUT,3,2019-03-04
12,Daniil Medvedev,Russian Federation,RUS,3,2019-10-07
19,Nikolay Davydenko,Russian Federation,RUS,2,2009-10-11
19,Andy Roddick,United States,USA,2,2010-03-24
19,Gilles Simon,France,FRA,2,2014-10-05
19,Stefanos Tsitsipas,Greece,GRE,2,2019-05-06
23,Guillermo Canas,Argentina,ARG,1,2007-03-19
23,Fernando Gonzalez,Chile,CHI,1,2007-05-07
23,James Blake,United States,USA,1,2007-08-13
23,Nicolas Kiefer,Germany,GER,1,2008-07-21
23,Ivan Ljubicic,Croatia,CRO,1,2010-03-11
23,Fernando Verdasco,Spain,ESP,1,2010-04-11
23,Robin Soderling,Sweden,SWE,1,2010-11-07
23,Richard Gasquet,France,FRA,1,2012-08-06
23,Jerzy Janowicz,Poland,POL,1,2012-10-29
23,Marin Cilic,Croatia,CRO,1,2016-08-15
23,Roberto Bautista Agut,Spain,ESP,1,2016-10-10
23,Albert Ramos,Spain,ESP,1,2017-04-17
23,Grigor Dimitrov,Bulgaria,BUL,1,2017-08-14
23,Nick Kyrgios,Australia,AUS,1,2017-08-14
23,Filip Krajinovic,Serbia,SRB,1,2017-10-30
23,Jack Sock,United States,USA,1,2017-10-30
23,Borna Coric,Croatia,CRO,1,2018-10-08
23,Karen Khachanov,Russian Federation,RUS,1,2018-10-29
23,Fabio Fognini,Italy,ITA,1,2019-04-15
23,Dusan Lajovic,Serbia,SRB,1,2019-04-15
23,David Goffin,Belgium,BEL,1,2019-08-12
23,Denis Shapovalov,Canada,CAN,1,2019-10-28
