rank,name,country_name,country_id,count,lastDate
1,Novak Djokovic,Serbia,SRB,34,2019-10-28
2,Rafael Nadal,Spain,ESP,29,2019-08-05
3,Roger Federer,Switzerland,SUI,16,2019-03-18
4,Andy Murray,United Kingdom,GBR,14,2016-10-31
5,Alexander Zverev,Germany,GER,3,2018-05-07
6,David Nalbandian,Argentina,ARG,2,2007-10-28
6,Nikolay Davydenko,Russian Federation,RUS,2,2009-10-11
6,Jo Wilfried Tsonga,France,FRA,2,2014-08-04
6,Daniil Medvedev,Russian Federation,RUS,2,2019-10-07
10,Ivan Ljubicic,Croatia,CRO,1,2010-03-11
10,Andy Roddick,United States,USA,1,2010-03-24
10,Robin Soderling,Sweden,SWE,1,2010-11-07
10,David Ferrer,Spain,ESP,1,2012-10-29
10,Stan Wawrinka,Switzerland,SUI,1,2014-04-13
10,Marin Cilic,Croatia,CRO,1,2016-08-15
10,Grigor Dimitrov,Bulgaria,BUL,1,2017-08-14
10,Jack Sock,United States,USA,1,2017-10-30
10,Juan Martin Del Potro,Argentina,ARG,1,2018-03-05
10,John Isner,United States,USA,1,2018-03-19
10,Karen Khachanov,Russian Federation,RUS,1,2018-10-29
10,Dominic Thiem,Austria,AUT,1,2019-03-04
10,Fabio Fognini,Italy,ITA,1,2019-04-15
