rank,name,country_name,country_id,count,lastDate
1,Novak Djokovic,Serbia,SRB,7,2018-11-12
2,Roger Federer,Switzerland,SUI,6,2015-11-15
3,Nikolay Davydenko,Russian Federation,RUS,2,2009-11-22
3,Rafael Nadal,Spain,ESP,2,2013-11-04
5,David Ferrer,Spain,ESP,1,2007-11-12
5,Juan Martin Del Potro,Argentina,ARG,1,2009-11-22
5,Jo Wilfried Tsonga,France,FRA,1,2011-11-20
5,Andy Murray,United Kingdom,GBR,1,2016-11-14
5,Grigor Dimitrov,Bulgaria,BUL,1,2017-11-13
5,David Goffin,Belgium,BEL,1,2017-11-13
5,Alexander Zverev,Germany,GER,1,2018-11-12
5,Stefanos Tsitsipas,Greece,GRE,1,2019-11-11
5,Dominic Thiem,Austria,AUT,1,2019-11-11
