rank,name,country_name,country_id,value
1,Ivo Karlovic,Croatia,CRO,7.873
2,John Isner,United States,USA,6.853
3,Milos Raonic,Canada,CAN,5.997
4,Nick Kyrgios,Australia,AUS,5.609
5,Gilles Muller,Luxembourg,LUX,5.565
6,Sam Querrey,United States,USA,4.926
7,Kevin Anderson,South Africa,RSA,4.850
8,Ivan Ljubicic,Croatia,CRO,4.831
9,Andy Roddick,United States,USA,4.808
10,Feliciano Lopez,Spain,ESP,4.270
11,Mardy Fish,United States,USA,3.813
12,Jo Wilfried Tsonga,France,FRA,3.789
13,Vasek Pospisil,Canada,CAN,3.712
14,Ernests Gulbis,Latvia,LAT,3.680
15,Robin Soderling,Sweden,SWE,3.542
16,Marin Cilic,Croatia,CRO,3.489
17,Michael Llodra,France,FRA,3.472
18,Jan Lennard Struff,Germany,GER,3.453
19,Nicolas Almagro,Spain,ESP,3.400
20,Benoit Paire,France,FRA,3.274
21,Ivan Dodig,Croatia,CRO,3.261
22,Steve Johnson,United States,USA,3.251
23,Aljaz Bedene,Slovenia,SLO,3.243
24,Karen Khachanov,Russian Federation,RUS,3.239
25,Jeremy Chardy,France,FRA,3.239
26,Gael Monfils,France,FRA,3.210
27,Viktor Troicki,Serbia,SRB,3.116
28,Roger Federer,Switzerland,SUI,3.108
29,Benjamin Becker,Germany,GER,3.058
30,Bernard Tomic,Australia,AUS,3.053
31,Tomas Berdych,Czech Republic,CZE,3.047
32,Alexandr Dolgopolov,Ukraine,UKR,3.045
33,Juan Martin Del Potro,Argentina,ARG,3.039
34,Alexander Zverev,Germany,GER,3.031
35,Daniil Medvedev,Russian Federation,RUS,3.024
36,Nicolas Mahut,France,FRA,2.985
37,Lucas Pouille,France,FRA,2.899
38,Marcos Baghdatis,Cyprus,CYP,2.885
39,Ryan Harrison,United States,USA,2.799
40,Grigor Dimitrov,Bulgaria,BUL,2.775
41,Janko Tipsarevic,Serbia,SRB,2.774
42,Xavier Malisse,Belgium,BEL,2.757
43,Jiri Vesely,Czech Republic,CZE,2.753
44,Stan Wawrinka,Switzerland,SUI,2.733
45,Dmitry Tursunov,Russian Federation,RUS,2.711
46,Tommy Haas,Germany,GER,2.654
47,Fernando Gonzalez,Chile,CHI,2.653
48,Andy Murray,United Kingdom,GBR,2.644
49,Sergiy Stakhovsky,Ukraine,UKR,2.616
50,Jack Sock,United States,USA,2.598
51,Denis Istomin,Uzbekistan,UZB,2.595
52,Lukas Rosol,Czech Republic,CZE,2.572
53,Robin Haase,Netherlands,NED,2.529
54,Leonardo Mayer,Argentina,ARG,2.481
55,James Blake,United States,USA,2.445
56,Lukas Lacko,Slovakia,SVK,2.430
57,Julien Benneteau,France,FRA,2.420
58,Lleyton Hewitt,Australia,AUS,2.364
59,Horacio Zeballos,Argentina,ARG,2.347
60,Pablo Cuevas,Uruguay,URU,2.342
61,Thomaz Bellucci,Brazil,BRA,2.314
62,Kyle Edmund,United Kingdom,GBR,2.310
63,Dominic Thiem,Austria,AUT,2.277
64,Philipp Kohlschreiber,Germany,GER,2.260
65,Borna Coric,Croatia,CRO,2.259
66,Richard Gasquet,France,FRA,2.256
67,Michael Berrer,Germany,GER,2.241
68,Radek Stepanek,Czech Republic,CZE,2.192
69,Fernando Verdasco,Spain,ESP,2.138
70,David Goffin,Belgium,BEL,2.121
71,Jurgen Melzer,Austria,AUT,2.095
72,Novak Djokovic,Serbia,SRB,2.069
73,Paul Henri Mathieu,France,FRA,2.056
74,Mischa Zverev,Germany,GER,2.015
75,Igor Andreev,Russian Federation,RUS,2.009
76,Andreas Seppi,Italy,ITA,1.967
77,Guido Pella,Argentina,ARG,1.964
78,Daniel Gimeno Traver,Spain,ESP,1.852
79,Victor Hanescu,Romania,ROU,1.838
80,Adrian Mannarino,France,FRA,1.828
81,Martin Klizan,Slovakia,SVK,1.818
82,Ricardas Berankis,Lithuania,LTU,1.801
83,Teymuraz Gabashvili,Russian Federation,RUS,1.748
84,Yen Hsun Lu,"Taiwan, Province of China",TPE,1.742
85,David Nalbandian,Argentina,ARG,1.735
86,Florian Mayer,Germany,GER,1.714
87,Gilles Simon,France,FRA,1.702
88,Simone Bolelli,Italy,ITA,1.688
89,Malek Jaziri,Tunisia,TUN,1.655
90,Edouard Roger Vasselin,France,FRA,1.646
91,Marcel Granollers,Spain,ESP,1.620
92,Steve Darcis,Belgium,BEL,1.617
93,Mikhail Youzhny,Russian Federation,RUS,1.589
94,Paolo Lorenzi,Italy,ITA,1.586
95,Florent Serra,France,FRA,1.580
96,Tommy Robredo,Spain,ESP,1.580
97,Pablo Carreno Busta,Spain,ESP,1.571
98,Nikoloz Basilashvili,Georgia,GEO,1.515
99,Dusan Lajovic,Serbia,SRB,1.510
100,Federico Delbonis,Argentina,ARG,1.488
