rank,name,country_name,country_id,value
1,Rafael Nadal,Spain,ESP,92.52%
2,Novak Djokovic,Serbia,SRB,82.01%
3,Roger Federer,Switzerland,SUI,78.74%
4,Dominic Thiem,Austria,AUT,74.86%
5,David Ferrer,Spain,ESP,74.85%
6,Juan Martin Del Potro,Argentina,ARG,73.83%
7,Andy Murray,United Kingdom,GBR,72.14%
8,Kei Nishikori,Japan,JPN,70.68%
9,Robin Soderling,Sweden,SWE,70.00%
10,Alexander Zverev,Germany,GER,69.81%
11,Nicolas Almagro,Spain,ESP,68.47%
12,Stan Wawrinka,Switzerland,SUI,68.28%
13,Juan Carlos Ferrero,Spain,ESP,67.72%
14,Tomas Berdych,Czech Republic,CZE,65.43%
15,Juan Monaco,Argentina,ARG,65.08%
16,Tommy Robredo,Spain,ESP,64.13%
17,Jo Wilfried Tsonga,France,FRA,64.03%
18,Milos Raonic,Canada,CAN,64.00%
18,Richard Gasquet,France,FRA,64.00%
20,Marin Cilic,Croatia,CRO,63.10%
21,Gael Monfils,France,FRA,62.43%
22,Fernando Verdasco,Spain,ESP,62.06%
23,David Goffin,Belgium,BEL,61.74%
24,Nikolay Davydenko,Russian Federation,RUS,60.87%
25,Philipp Kohlschreiber,Germany,GER,60.61%
26,Pablo Cuevas,Uruguay,URU,60.08%
27,Fabio Fognini,Italy,ITA,59.82%
28,Juan Ignacio Chela,Argentina,ARG,59.62%
29,Roberto Bautista Agut,Spain,ESP,59.02%
30,Grigor Dimitrov,Bulgaria,BUL,57.52%
31,Albert Montanes,Spain,ESP,56.70%
32,Martin Klizan,Slovakia,SVK,56.59%
33,Gilles Simon,France,FRA,56.56%
34,Guido Pella,Argentina,ARG,56.31%
35,Thomaz Bellucci,Brazil,BRA,55.90%
36,Federico Delbonis,Argentina,ARG,55.17%
37,Albert Ramos,Spain,ESP,54.65%
38,John Isner,United States,USA,54.33%
39,Victor Hanescu,Romania,ROU,54.27%
40,Leonardo Mayer,Argentina,ARG,54.07%
41,Diego Sebastian Schwartzman,Argentina,ARG,53.97%
42,Kevin Anderson,South Africa,RSA,53.40%
43,Potito Starace,Italy,ITA,53.04%
44,Pablo Carreno Busta,Spain,ESP,52.94%
45,Jeremy Chardy,France,FRA,52.60%
46,Igor Andreev,Russian Federation,RUS,52.56%
47,Ernests Gulbis,Latvia,LAT,52.45%
48,Benoit Paire,France,FRA,52.32%
49,Lukas Rosol,Czech Republic,CZE,52.00%
50,Janko Tipsarevic,Serbia,SRB,51.30%
51,Santiago Giraldo,Colombia,COL,51.12%
52,Viktor Troicki,Serbia,SRB,51.08%
53,Pablo Andujar,Spain,ESP,51.02%
54,Robin Haase,Netherlands,NED,50.88%
55,Dusan Lajovic,Serbia,SRB,50.74%
56,Guillermo Garcia Lopez,Spain,ESP,50.68%
57,Joao Sousa,Portugal,POR,50.64%
58,Feliciano Lopez,Spain,ESP,50.60%
59,Mikhail Youzhny,Russian Federation,RUS,50.30%
60,Andreas Seppi,Italy,ITA,50.24%
61,Alexandr Dolgopolov,Ukraine,UKR,50.00%
61,Aljaz Bedene,Slovenia,SLO,50.00%
61,Jurgen Melzer,Austria,AUT,50.00%
64,Simone Bolelli,Italy,ITA,49.12%
65,Jiri Vesely,Czech Republic,CZE,49.00%
66,Paul Henri Mathieu,France,FRA,48.44%
67,Carlos Berlocq,Argentina,ARG,48.22%
68,Marcel Granollers,Spain,ESP,48.11%
69,Florian Mayer,Germany,GER,47.41%
70,Jarkko Nieminen,Finland,FIN,47.22%
71,Sam Querrey,United States,USA,45.95%
72,Horacio Zeballos,Argentina,ARG,45.31%
73,Denis Istomin,Uzbekistan,UZB,44.96%
74,Daniel Gimeno Traver,Spain,ESP,43.43%
75,Filippo Volandri,Italy,ITA,42.55%
76,Paolo Lorenzi,Italy,ITA,42.25%
