rank,name,country_name,country_id,value
1,Novak Djokovic,Serbia,SRB,85.25%
2,Roger Federer,Switzerland,SUI,84.06%
3,Andy Murray,United Kingdom,GBR,79.47%
4,Rafael Nadal,Spain,ESP,79.44%
5,Andy Roddick,United States,USA,73.78%
6,Juan Martin Del Potro,Argentina,ARG,72.68%
7,Robin Soderling,Sweden,SWE,70.86%
8,Milos Raonic,Canada,CAN,69.18%
9,Daniil Medvedev,Russian Federation,RUS,68.97%
10,Jo Wilfried Tsonga,France,FRA,68.64%
11,David Nalbandian,Argentina,ARG,68.28%
12,Kei Nishikori,Japan,JPN,67.68%
13,Gael Monfils,France,FRA,67.15%
14,Nick Kyrgios,Australia,AUS,66.46%
15,Tomas Berdych,Czech Republic,CZE,66.42%
16,David Ferrer,Spain,ESP,66.38%
17,Marin Cilic,Croatia,CRO,65.74%
18,Stan Wawrinka,Switzerland,SUI,65.33%
19,Alexander Zverev,Germany,GER,64.17%
20,Nikolay Davydenko,Russian Federation,RUS,63.25%
21,Richard Gasquet,France,FRA,63.24%
22,Roberto Bautista Agut,Spain,ESP,63.23%
23,John Isner,United States,USA,63.20%
24,Mardy Fish,United States,USA,62.56%
25,Grigor Dimitrov,Bulgaria,BUL,61.28%
26,James Blake,United States,USA,61.23%
27,David Goffin,Belgium,BEL,61.23%
28,Kevin Anderson,South Africa,RSA,61.20%
29,Stefanos Tsitsipas,Greece,GRE,60.38%
30,Denis Shapovalov,Canada,CAN,60.17%
31,Gilles Simon,France,FRA,58.96%
32,Fernando Gonzalez,Chile,CHI,58.93%
33,Tommy Haas,Germany,GER,58.85%
34,Dominic Thiem,Austria,AUT,58.29%
35,Radek Stepanek,Czech Republic,CZE,57.55%
36,Ivan Ljubicic,Croatia,CRO,57.23%
37,Sam Querrey,United States,USA,57.11%
38,Marcos Baghdatis,Cyprus,CYP,56.99%
39,Lleyton Hewitt,Australia,AUS,56.42%
40,Janko Tipsarevic,Serbia,SRB,56.29%
41,Mikhail Youzhny,Russian Federation,RUS,56.10%
42,Jack Sock,United States,USA,55.66%
43,Philipp Kohlschreiber,Germany,GER,55.50%
44,Fernando Verdasco,Spain,ESP,55.14%
45,Tommy Robredo,Spain,ESP,54.77%
46,Pablo Carreno Busta,Spain,ESP,54.60%
47,Bernard Tomic,Australia,AUS,54.55%
48,Ivo Karlovic,Croatia,CRO,54.42%
49,Diego Sebastian Schwartzman,Argentina,ARG,54.26%
50,Lucas Pouille,France,FRA,54.11%
51,Andrey Rublev,Russian Federation,RUS,54.10%
52,Alexandr Dolgopolov,Ukraine,UKR,53.15%
53,Hyeon Chung,"Korea, Republic of",KOR,53.10%
54,Jurgen Melzer,Austria,AUT,53.05%
55,Viktor Troicki,Serbia,SRB,52.94%
56,Kyle Edmund,United Kingdom,GBR,52.67%
57,Karen Khachanov,Russian Federation,RUS,52.63%
58,Gilles Muller,Luxembourg,LUX,52.25%
59,Ricardas Berankis,Lithuania,LTU,52.10%
60,Jerzy Janowicz,Poland,POL,52.03%
61,Jarkko Nieminen,Finland,FIN,51.72%
62,Dmitry Tursunov,Russian Federation,RUS,51.26%
63,Feliciano Lopez,Spain,ESP,51.03%
64,Borna Coric,Croatia,CRO,50.92%
65,Julien Benneteau,France,FRA,50.50%
66,Ernests Gulbis,Latvia,LAT,50.36%
67,Taylor Harry Fritz,United States,USA,50.00%
68,Damir Dzumhur,Bosnia and Herzegovina,BIH,49.67%
69,Juan Monaco,Argentina,ARG,49.45%
70,Steve Johnson,United States,USA,49.05%
71,Nicolas Almagro,Spain,ESP,49.01%
72,Michael Llodra,France,FRA,48.88%
73,Nikoloz Basilashvili,Georgia,GEO,48.62%
74,Mikhail Kukushkin,Kazakhstan,KAZ,48.21%
75,Somdev Devvarman,India,IND,48.15%
76,Jeremy Chardy,France,FRA,48.01%
77,Fabio Fognini,Italy,ITA,47.99%
78,Igor Andreev,Russian Federation,RUS,47.37%
79,Vasek Pospisil,Canada,CAN,47.31%
80,Jan Lennard Struff,Germany,GER,47.26%
81,Sergiy Stakhovsky,Ukraine,UKR,47.09%
82,Andreas Seppi,Italy,ITA,46.50%
83,Paul Henri Mathieu,France,FRA,46.46%
84,Adrian Mannarino,France,FRA,46.32%
84,Steve Darcis,Belgium,BEL,46.32%
86,Illya Marchenko,Ukraine,UKR,46.23%
87,Benoit Paire,France,FRA,46.09%
88,Aljaz Bedene,Slovenia,SLO,46.08%
89,Joao Sousa,Portugal,POR,46.05%
90,Ryan Harrison,United States,USA,45.92%
91,Philipp Petzschner,Germany,GER,45.45%
92,Denis Istomin,Uzbekistan,UZB,45.42%
93,Ivan Dodig,Croatia,CRO,45.40%
94,Martin Klizan,Slovakia,SVK,45.27%
95,Dudi Sela,Israel,ISR,45.26%
96,John Millman,Australia,AUS,44.55%
97,Florian Mayer,Germany,GER,44.44%
97,Xavier Malisse,Belgium,BEL,44.44%
99,Robin Haase,Netherlands,NED,44.27%
100,Robby Ginepri,United States,USA,44.14%
