rank,name,country_name,country_id,count,lastDate
1,Novak Djokovic,Serbia,SRB,25,2019-07-01
2,Rafael Nadal,Spain,ESP,24,2019-08-26
3,Roger Federer,Switzerland,SUI,21,2019-07-01
4,Andy Murray,United Kingdom,GBR,11,2016-06-27
5,Stan Wawrinka,Switzerland,SUI,4,2017-05-29
6,Marin Cilic,Croatia,CRO,3,2018-01-15
7,Robin Soderling,Sweden,SWE,2,2010-05-24
7,Kevin Anderson,South Africa,RSA,2,2018-07-02
7,Juan Martin Del Potro,Argentina,ARG,2,2018-08-27
7,Dominic Thiem,Austria,AUT,2,2019-05-27
11,Fernando Gonzalez,Chile,CHI,1,2007-01-15
11,Jo Wilfried Tsonga,France,FRA,1,2008-01-14
11,Andy Roddick,United States,USA,1,2009-06-22
11,Tomas Berdych,Czech Republic,CZE,1,2010-06-21
11,David Ferrer,Spain,ESP,1,2013-05-27
11,Kei Nishikori,Japan,JPN,1,2014-08-25
11,Milos Raonic,Canada,CAN,1,2016-06-27
11,Daniil Medvedev,Russian Federation,RUS,1,2019-08-26
