rank,name,country_name,country_id,count,lastDate
1,Novak Djokovic,Serbia,SRB,36,2019-07-01
2,Roger Federer,Switzerland,SUI,33,2019-07-01
3,Rafael Nadal,Spain,ESP,30,2019-08-26
4,Andy Murray,United Kingdom,GBR,21,2017-05-29
5,Stan Wawrinka,Switzerland,SUI,9,2017-05-29
6,Tomas Berdych,Czech Republic,CZE,7,2017-07-03
7,David Ferrer,Spain,ESP,6,2013-05-27
7,Jo Wilfried Tsonga,France,FRA,6,2015-05-24
7,Juan Martin Del Potro,Argentina,ARG,6,2018-08-27
10,Marin Cilic,Croatia,CRO,5,2018-01-15
11,Dominic Thiem,Austria,AUT,4,2019-05-27
12,Andy Roddick,United States,USA,3,2009-06-22
12,Richard Gasquet,France,FRA,3,2015-06-29
12,Milos Raonic,Canada,CAN,3,2016-06-27
12,Kei Nishikori,Japan,JPN,3,2018-08-27
12,Grigor Dimitrov,Bulgaria,BUL,3,2019-08-26
17,Nikolay Davydenko,Russian Federation,RUS,2,2007-08-27
17,Fernando Gonzalez,Chile,CHI,2,2009-05-25
17,Tommy Haas,Germany,GER,2,2009-06-22
17,Robin Soderling,Sweden,SWE,2,2010-05-24
17,Gael Monfils,France,FRA,2,2016-08-29
17,Kevin Anderson,South Africa,RSA,2,2018-07-02
23,Rainer Schuettler,Germany,GER,1,2008-06-23
23,Marat Safin,Russian Federation,RUS,1,2008-06-23
23,Fernando Verdasco,Spain,ESP,1,2009-01-19
23,Jurgen Melzer,Austria,AUT,1,2010-05-24
23,Mikhail Youzhny,Russian Federation,RUS,1,2010-08-30
23,Jerzy Janowicz,Poland,POL,1,2013-06-24
23,Ernests Gulbis,Latvia,LAT,1,2014-05-26
23,Sam Querrey,United States,USA,1,2017-07-03
23,Pablo Carreno Busta,Spain,ESP,1,2017-08-28
23,Kyle Edmund,United Kingdom,GBR,1,2018-01-15
23,Hyeon Chung,"Korea, Republic of",KOR,1,2018-01-15
23,Marco Cecchinato,Italy,ITA,1,2018-05-28
23,John Isner,United States,USA,1,2018-07-02
23,Stefanos Tsitsipas,Greece,GRE,1,2019-01-14
23,Lucas Pouille,France,FRA,1,2019-01-14
23,Roberto Bautista Agut,Spain,ESP,1,2019-07-01
23,Daniil Medvedev,Russian Federation,RUS,1,2019-08-26
23,Matteo Berrettini,Italy,ITA,1,2019-08-26
