rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Rafael Nadal,Spain,ESP,13030,1,2008-08-18,0,0,15390
2,Novak Djokovic,Serbia,SRB,12260,1,2011-07-04,0,0,16950
3,David Ferrer,Spain,ESP,5800,3,2013-07-08,0,0,7220
4,Andy Murray,United Kingdom,GBR,5790,1,2016-11-07,0,0,12685
5,Juan Martin Del Potro,Argentina,ARG,5255,3,2018-08-13,0,0,6825
6,Roger Federer,Switzerland,SUI,4205,1,2004-02-02,0,0,12315
7,Tomas Berdych,Czech Republic,CZE,4180,4,2015-05-18,0,0,5230
8,Stan Wawrinka,Switzerland,SUI,3730,3,2014-01-27,0,0,6865
9,Richard Gasquet,France,FRA,3300,7,2007-07-09,0,0,3365
10,Jo Wilfried Tsonga,France,FRA,3065,5,2012-02-27,0,0,5230
11,Milos Raonic,Canada,CAN,2860,3,2016-11-21,0,0,5450
12,Tommy Haas,Germany,GER,2435,2,2002-05-13,0,0,3030
13,Nicolas Almagro,Spain,ESP,2290,9,2011-05-02,0,0,2735
14,John Isner,United States,USA,2150,8,2018-07-16,0,0,3720
15,Mikhail Youzhny,Russian Federation,RUS,2145,8,2008-01-28,0,0,3500
16,Fabio Fognini,Italy,ITA,1930,9,2019-07-15,0,0,2920
17,Kei Nishikori,Japan,JPN,1915,4,2015-03-02,0,0,6385
18,Tommy Robredo,Spain,ESP,1810,5,2006-08-28,0,0,2770
19,Gilles Simon,France,FRA,1790,6,2009-01-05,0,0,4170
20,Kevin Anderson,South Africa,RSA,1685,5,2018-07-16,0,0,4845
