rank,name,country_name,country_id,active,value
1,Ivo Karlovic,Croatia,CRO,false,82.69%
2,Goran Ivanisevic,Croatia,CRO,false,82.45%
3,Milos Raonic,Canada,CAN,false,81.45%
4,Richard Krajicek,Netherlands,NED,false,81.38%
5,Wayne Arthurs,Australia,AUS,false,81.22%
6,Pete Sampras,United States,USA,false,80.92%
7,Mark Philippoussis,Australia,AUS,false,80.04%
8,Greg Rusedski,United Kingdom,GBR,false,79.81%
9,Boris Becker,Germany,GER,false,79.39%
10,Joachim Johansson,Sweden,SWE,false,79.37%
11,Andy Roddick,United States,USA,false,79.36%
12,Reilly Opelka,United States,USA,true,79.21%
13,Sam Querrey,United States,USA,true,78.97%
14,John Isner,United States,USA,true,78.73%
15,Marc Kevin Goellner,Germany,GER,false,78.59%
16,Marc Rosset,Switzerland,SUI,false,78.54%
17,Chris Guccione,Australia,AUS,false,78.52%
18,Samuel Groth,Australia,AUS,false,78.23%
19,Michael Tebbutt,Australia,AUS,false,78.11%
20,Matteo Berrettini,Italy,ITA,true,78.05%
21,Gilles Muller,Luxembourg,LUX,false,78.02%
22,Michael Stich,Germany,GER,false,77.84%
23,Guy Forget,France,FRA,false,77.82%
24,Jo Wilfried Tsonga,France,FRA,true,77.66%
25,Nick Kyrgios,Australia,AUS,true,77.59%
26,Henrik Holm,Sweden,SWE,false,77.56%
27,Ivan Ljubicic,Croatia,CRO,false,77.52%
28,Roger Federer,Switzerland,SUI,true,77.39%
29,Mardy Fish,United States,USA,false,77.27%
30,Alex Radulescu,Germany,GER,false,77.04%
31,Kevin Anderson,South Africa,RSA,true,77.03%
32,Tomas Berdych,Czech Republic,CZE,false,76.95%
33,Marin Cilic,Croatia,CRO,true,76.91%
34,Jan Michael Gambill,United States,USA,false,76.57%
35,Alexander Bublik,Kazakhstan,KAZ,true,76.51%
36,Feliciano Lopez,Spain,ESP,true,76.33%
37,Gustavo Kuerten,Brazil,BRA,false,76.28%
38,Martin Verkerk,Netherlands,NED,false,76.20%
39,Thomas Johansson,Sweden,SWE,false,76.20%
40,Jonathan Stark,United States,USA,false,76.16%
41,Vasek Pospisil,Canada,CAN,true,76.12%
42,Kevin Curren,United States,USA,false,76.12%
43,Jan Lennard Struff,Germany,GER,true,76.05%
44,Stefanos Tsitsipas,Greece,GRE,true,76.00%
45,Max Mirnyi,Belarus,BLR,false,75.99%
46,Ivan Lendl,United States,USA,false,75.96%
47,Gregory Carraz,France,FRA,false,75.81%
48,Robin Soderling,Sweden,SWE,false,75.73%
49,Denis Shapovalov,Canada,CAN,true,75.70%
50,Thomas Enqvist,Sweden,SWE,false,75.70%
51,Patrick Rafter,Australia,AUS,false,75.64%
52,Marius Copil,Romania,ROU,true,75.62%
53,Daniil Medvedev,Russian Federation,RUS,true,75.58%
54,Thanasi Kokkinakis,Australia,AUS,true,75.55%
55,Todd Martin,United States,USA,false,75.55%
56,Mario Ancic,Croatia,CRO,false,75.54%
57,John McEnroe,United States,USA,false,75.48%
58,Marat Safin,Russian Federation,RUS,false,75.43%
59,Jamie Morgan,Australia,AUS,false,75.38%
60,Ernests Gulbis,Latvia,LAT,false,75.24%
61,Daniel Nestor,Canada,CAN,false,75.21%
62,Taylor Dent,United States,USA,false,75.19%
63,Steve Johnson,United States,USA,true,75.15%
64,Laurence Tieleman,Italy,ITA,false,75.14%
65,Martin Damm,Czech Republic,CZE,false,75.11%
66,Taylor Harry Fritz,United States,USA,true,75.11%
67,Arthur Rinderknech,France,FRA,true,75.06%
68,Felix Auger Aliassime,Canada,CAN,true,75.00%
69,Kenneth Carlsen,Denmark,DEN,false,74.96%
70,Bryan Shelton,United States,USA,false,74.89%
71,Jan Siemerink,Netherlands,NED,false,74.88%
72,Nicolas Kiefer,Germany,GER,false,74.84%
73,Nicolas Almagro,Spain,ESP,false,74.83%
74,Marcos Baghdatis,Cyprus,CYP,false,74.82%
75,Andrei Olhovskiy,Russian Federation,RUS,false,74.79%
76,Jerzy Janowicz,Poland,POL,false,74.73%
77,David Prinosil,Germany,GER,false,74.64%
78,Andrey Rublev,Russian Federation,RUS,true,74.58%
79,Alexandr Dolgopolov,Ukraine,UKR,false,74.56%
80,Agustin Calleri,Argentina,ARG,false,74.53%
81,Benjamin Becker,Germany,GER,false,74.53%
82,Wayne Ferreira,South Africa,RSA,false,74.52%
83,Tim Henman,United Kingdom,GBR,false,74.49%
84,Juan Martin Del Potro,Argentina,ARG,true,74.47%
85,Grigor Dimitrov,Bulgaria,BUL,true,74.44%
86,Andy Murray,United Kingdom,GBR,true,74.42%
87,Benoit Paire,France,FRA,true,74.42%
88,Alexander Zverev,Germany,GER,true,74.41%
89,Hubert Hurkacz,Poland,POL,true,74.40%
90,Gary Muller,South Africa,RSA,false,74.36%
91,Fernando Gonzalez,Chile,CHI,false,74.29%
92,Tommy Haas,Germany,GER,false,74.29%
93,Jim Courier,United States,USA,false,74.21%
94,Peter Wessels,Netherlands,NED,false,74.21%
95,Jens Knippschild,Germany,GER,false,74.21%
96,Brian Macphie,United States,USA,false,74.15%
97,Aljaz Bedene,Slovenia,SLO,true,74.11%
98,Peter Gojowczyk,Germany,GER,true,74.10%
99,Shuzo Matsuoka,Japan,JPN,false,74.09%
100,Daniele Bracciali,Italy,ITA,false,74.09%
101,Sandon Stolle,Australia,AUS,false,74.08%
102,Karsten Braasch,Germany,GER,false,74.08%
103,Richard Fromberg,Australia,AUS,false,74.06%
104,Philipp Petzschner,Germany,GER,false,74.03%
105,Henri Leconte,France,FRA,false,74.03%
106,Jeremy Chardy,France,FRA,false,74.01%
107,Daniel Vacek,Czech Republic,CZE,false,74.00%
108,Alexei Popyrin,Australia,AUS,true,74.00%
109,Lloyd George Muirhead Harris,South Africa,RSA,true,73.97%
110,Robert Kendrick,United States,USA,false,73.97%
111,Jakob Hlasek,Switzerland,SUI,false,73.95%
112,Alexander Mronz,Germany,GER,false,73.94%
113,Dominic Thiem,Austria,AUT,true,73.88%
114,Jared Donaldson,United States,USA,false,73.87%
115,Julien Boutter,France,FRA,false,73.82%
116,Dick Norman,Belgium,BEL,false,73.77%
117,Novak Djokovic,Serbia,SRB,true,73.76%
118,Pierre Hugues Herbert,France,FRA,true,73.74%
119,Jack Sock,United States,USA,true,73.73%
120,Stan Wawrinka,Switzerland,SUI,true,73.70%
121,Lleyton Hewitt,Australia,AUS,false,73.70%
122,Joern Renzenbrink,Germany,GER,false,73.68%
