rank,name,country_name,country_id,value
1,Rafael Nadal,Spain,ESP,78.79%
2,Roger Federer,Switzerland,SUI,77.75%
3,Novak Djokovic,Serbia,SRB,77.45%
4,Andy Murray,United Kingdom,GBR,72.21%
5,Andy Roddick,United States,USA,67.94%
6,Juan Martin Del Potro,Argentina,ARG,67.88%
7,Robin Soderling,Sweden,SWE,66.29%
8,Milos Raonic,Canada,CAN,65.26%
9,David Ferrer,Spain,ESP,65.03%
10,Jo Wilfried Tsonga,France,FRA,64.01%
11,Tomas Berdych,Czech Republic,CZE,63.57%
12,Kei Nishikori,Japan,JPN,62.69%
13,Gael Monfils,France,FRA,62.68%
14,David Nalbandian,Argentina,ARG,62.00%
15,Marin Cilic,Croatia,CRO,61.87%
16,Stan Wawrinka,Switzerland,SUI,61.74%
17,Fernando Gonzalez,Chile,CHI,61.08%
18,Alexander Zverev,Germany,GER,61.08%
19,Richard Gasquet,France,FRA,61.05%
20,Daniil Medvedev,Russian Federation,RUS,60.83%
21,Nick Kyrgios,Australia,AUS,60.65%
22,Dominic Thiem,Austria,AUT,60.60%
23,Nikolay Davydenko,Russian Federation,RUS,60.31%
24,Roberto Bautista Agut,Spain,ESP,59.70%
25,John Isner,United States,USA,58.86%
26,Nicolas Almagro,Spain,ESP,58.27%
27,Mardy Fish,United States,USA,58.05%
28,Juan Carlos Ferrero,Spain,ESP,57.82%
29,Tommy Haas,Germany,GER,57.55%
30,David Goffin,Belgium,BEL,57.44%
31,Grigor Dimitrov,Bulgaria,BUL,57.19%
32,Lleyton Hewitt,Australia,AUS,56.98%
33,Philipp Kohlschreiber,Germany,GER,56.43%
34,Kevin Anderson,South Africa,RSA,56.43%
35,Marcos Baghdatis,Cyprus,CYP,56.15%
36,Tommy Robredo,Spain,ESP,56.15%
37,Fernando Verdasco,Spain,ESP,55.83%
38,Juan Monaco,Argentina,ARG,55.80%
39,James Blake,United States,USA,55.72%
40,Ivan Ljubicic,Croatia,CRO,55.61%
41,Gilles Simon,France,FRA,55.29%
42,Sam Querrey,United States,USA,54.88%
43,Jack Sock,United States,USA,54.63%
44,Janko Tipsarevic,Serbia,SRB,54.62%
45,Mikhail Youzhny,Russian Federation,RUS,54.34%
46,Radek Stepanek,Czech Republic,CZE,53.95%
47,Karen Khachanov,Russian Federation,RUS,53.50%
48,Alexandr Dolgopolov,Ukraine,UKR,53.03%
49,Pablo Carreno Busta,Spain,ESP,53.00%
50,Ivo Karlovic,Croatia,CRO,52.88%
51,Pablo Cuevas,Uruguay,URU,52.65%
52,Diego Sebastian Schwartzman,Argentina,ARG,52.58%
53,Fabio Fognini,Italy,ITA,52.05%
54,Jerzy Janowicz,Poland,POL,51.99%
55,Lucas Pouille,France,FRA,51.86%
56,Kyle Edmund,United Kingdom,GBR,51.81%
57,Gilles Muller,Luxembourg,LUX,51.72%
58,Borna Coric,Croatia,CRO,51.69%
59,Feliciano Lopez,Spain,ESP,51.59%
60,Ernests Gulbis,Latvia,LAT,51.32%
61,Juan Ignacio Chela,Argentina,ARG,51.31%
62,Bernard Tomic,Australia,AUS,51.25%
63,Jurgen Melzer,Austria,AUT,51.12%
64,Viktor Troicki,Serbia,SRB,50.74%
65,Jarkko Nieminen,Finland,FIN,50.61%
66,Leonardo Mayer,Argentina,ARG,50.47%
67,Igor Andreev,Russian Federation,RUS,50.19%
68,Michael Llodra,France,FRA,50.16%
69,Steve Johnson,United States,USA,50.06%
70,Julien Benneteau,France,FRA,49.62%
71,Dmitry Tursunov,Russian Federation,RUS,49.49%
72,Martin Klizan,Slovakia,SVK,49.49%
73,Xavier Malisse,Belgium,BEL,49.45%
74,Nikoloz Basilashvili,Georgia,GEO,49.30%
75,Benoit Paire,France,FRA,49.21%
76,Paul Henri Mathieu,France,FRA,48.98%
77,Jeremy Chardy,France,FRA,48.79%
78,Denis Istomin,Uzbekistan,UZB,48.60%
79,Albert Montanes,Spain,ESP,48.49%
80,Steve Darcis,Belgium,BEL,48.36%
81,Thomaz Bellucci,Brazil,BRA,48.20%
82,Andreas Seppi,Italy,ITA,48.19%
83,Damir Dzumhur,Bosnia and Herzegovina,BIH,48.14%
84,Guido Pella,Argentina,ARG,48.10%
85,Nicolas Mahut,France,FRA,47.64%
86,Ricardas Berankis,Lithuania,LTU,47.59%
87,Jiri Vesely,Czech Republic,CZE,47.44%
88,Joao Sousa,Portugal,POR,47.34%
89,Florian Mayer,Germany,GER,47.31%
90,Ivan Dodig,Croatia,CRO,47.28%
91,Sergiy Stakhovsky,Ukraine,UKR,47.20%
92,Albert Ramos,Spain,ESP,47.00%
93,Robin Haase,Netherlands,NED,46.96%
94,Mikhail Kukushkin,Kazakhstan,KAZ,46.87%
95,Federico Delbonis,Argentina,ARG,46.69%
96,Jan Lennard Struff,Germany,GER,46.43%
97,Potito Starace,Italy,ITA,46.40%
98,Guillermo Garcia Lopez,Spain,ESP,46.38%
99,Dusan Lajovic,Serbia,SRB,46.29%
100,Adrian Mannarino,France,FRA,46.29%
